#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-02-10 19:32:10.365
#Sample rate: 200Hz
#Samples: 8000
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 50 mV/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -3.3 V

Time (s),Channel 1 (V),Channel 2 (V)
-17.67,-0.0004822369076127709,-0.0009534517995995113
-17.665,-0.0001521144954777098,-0.0009534517995996623
-17.659999999999997,-0.0008123593197481322,-0.0012855247006489255
-17.655,-0.0008123593197481322,-0.0009534517995995113
-17.65,-0.0001521144954777098,-0.000621378898549946
-17.645000000000003,-0.0008123593197478319,-0.0009534517995993603
-17.64,-0.0011424817318834936,-0.0009534517995995113
-17.634999999999998,-0.0001521144954777098,-0.0009534517995995113
-17.630000000000003,-0.0004822369076127709,-0.0009534517995995113
-17.625,-0.0011424817318831933,-0.0012855247006490766
-17.619999999999997,-0.0004822369076124706,-0.0009534517995995113
-17.615000000000002,-0.00015211449547740955,-0.0009534517995995113
-17.61,-0.0008123593197481322,-0.0009534517995995113
-17.604999999999997,-0.0008123593197475316,-0.0009534517995992092
-17.6,-0.00015211449547740955,-0.000621378898549795
-17.595,-0.00048223690761307116,-0.0009534517995995113
-17.590000000000003,-0.0011424817318831933,-0.0009534517995995113
-17.585,-0.00015211449547740955,-0.000621378898549795
-17.58,-0.0004822369076133714,-0.0009534517995998134
-17.575000000000003,-0.0011424817318834936,-0.0012855247006492276
-17.57,-0.0004822369076126208,-0.0009534517995995113
-17.564999999999998,-0.00015211449547801003,-0.0009534517995998134
-17.560000000000002,-0.0008123593197481322,-0.0012855247006492276
-17.555,-0.000812359319747832,-0.0009534517995993603
-17.549999999999997,-0.0001521144954777098,-0.0006213788985500971
-17.545,-0.0004822369076127709,-0.0009534517995995113
-17.54,-0.000812359319747832,-0.0009534517995993603
-17.534999999999997,-0.0001521144954777098,-0.0006213788985500971
-17.53,-0.0004822369076127709,-0.0009534517995995113
-17.525,-0.0011424817318831933,-0.0012855247006489255
-17.520000000000003,-0.0004822369076130711,-0.0006213788985500971
-17.515,-0.00015211449547740955,-0.0009534517995995113
-17.509999999999998,-0.0008123593197481322,-0.0012855247006489255
-17.505000000000003,-0.0008123593197481322,-0.0009534517995995113
-17.5,-0.00015211449547755968,-0.000621378898549946
-17.494999999999997,-0.00048223690761307116,-0.0009534517995995113
-17.490000000000002,-0.0008123593197481322,-0.0009534517995995113
-17.485,-0.00015211449547755968,-0.000621378898549946
-17.479999999999997,-0.0004822369076133714,-0.0009534517995998134
-17.475,-0.0011424817318834936,-0.0012855247006492276
-17.47,-0.0004822369076126208,-0.0009534517995995113
-17.465000000000003,-0.00015211449547755966,-0.0009534517995995113
