#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 15:49:54.296

Frequency (Hz),Channel 1 (V),Channel 2 (V)
0,0.9197989320523348,0.07631122352595655
9.765625,0.8876183001273866,0.07365124600591434
19.53125,0.5934569061383222,0.04931889834677521
29.296875,0.17990721620106226,0.016188982733738935
39.0625,0.01820086548809171,0.006700966649971057
48.828125,0.009238465464016347,0.009342521784679555
58.59375,0.009805100152472632,0.009905572039185543
68.359375,0.009620881315992553,0.009713499356457041
78.125,0.006988375043665335,0.007045522961109806
87.890625,0.0024032070349705456,0.002406229887071474
97.65625,0.0001495415538327525,0.00015491018164805258
107.421875,0.00027056508925998624,0.0003323684450602752
117.1875,0.00029970463282492314,0.00037030453566467273
126.953125,0.0003025405229276603,0.0003710953577945661
136.71875,0.0002404600107419454,0.0002933118930541255
146.484375,0.0003672025631051618,0.0004306278598388689
156.25,0.0016707119426419773,0.0018517144410417114
166.015625,0.003334107617795328,0.003677348502123665
175.78125,0.0038038760479493987,0.004195307772789541
185.546875,0.0037682138435817954,0.004159273478410668
195.3125,0.003114408565303508,0.003441162946666569
205.078125,0.0013603220277372836,0.001512011187506734
214.84375,0.00010813647984357924,0.0001336466184130794
224.609375,0.00019062121568211301,0.00020236423405652155
234.375,0.000213084674675459,0.00022980308155858112
244.140625,0.00020633730836125744,0.0002221102264631809
253.90625,0.00018802802765711257,0.00019672907553294373
263.671875,6.393189540200854e-5,5.563052541537845e-5
273.4375,0.00034223199570491996,0.0004267676126020057
283.203125,0.000947714901848693,0.0011147351542910831
292.96875,0.0012347279265083008,0.0014307198897555188
302.734375,0.0012539260315430423,0.0014383538737414417
312.5,0.0011580968793928215,0.0013148173583019556
322.265625,0.0006621410905496055,0.0007354766196997222
332.03125,0.00018458015829433944,0.00018670345465060447
341.796875,8.597000117727194e-5,7.830667858831943e-5
351.5625,9.8468083035241e-5,9.80988762371212e-5
361.328125,9.328537816018235e-5,9.818935226486272e-5
371.09375,8.655418471573072e-5,9.358411722268812e-5
380.859375,5.7092258426866734e-5,6.585338084361746e-5
390.625,5.795532558543065e-5,7.669939771420116e-5
400.390625,0.00015430847000352823,0.0001931009924202052
410.15625,0.00023471499089392433,0.000290059808165836
419.921875,0.0002429218725049253,0.0003007575479527357
429.6875,0.00023400090247226735,0.00028692172919333287
439.453125,0.000161154398356332,0.00019240800247914477
449.21875,6.0033780487950093e-5,6.0812346455235045e-5
458.984375,5.9878293399603093e-5,6.808059125311438e-5
468.75,9.227109269190558e-5,0.00011278035814984499
478.515625,9.462486126712863e-5,0.0001177346427778798
488.28125,8.50541052732509e-5,0.0001088190498659964
498.046875,5.498172110472843e-5,7.219955736534393e-5
