#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-02-05 17:26:30.068
#Sample rate: 200000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 1 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.030215000000000002,-0.11932630527634286,-0.0012855247006492276
-0.03021,-0.11932630527634286,-0.0012855247006492276
-0.030205,-0.11866606045207213,-0.0009534517995993603
-0.0302,-0.11866606045207213,-0.000621378898549795
-0.030195,-0.11965642768847821,-0.0012855247006492276
-0.03019,-0.11998655010061357,-0.0009534517995995113
-0.030185,-0.11998655010061357,-0.0009534517995995113
-0.030180000000000002,-0.11998655010061357,-0.000621378898549946
-0.030175,-0.11998655010061357,-0.0016175976016989438
-0.03017,-0.1193263052763427,-0.0012855247006490766
-0.030165,-0.11899618286420749,-0.0009534517995995113
-0.03016,-0.11833593803993676,-0.0002893059975006828
-0.030155,-0.11833593803993676,-0.0016175976016989438
-0.03015,-0.11833593803993676,-0.0009534517995995113
-0.030145,-0.11866606045207213,-0.000621378898549795
-0.03014,-0.11833593803993676,-0.000621378898549795
-0.030135000000000002,-0.11899618286420718,-0.0012855247006489255
-0.03013,-0.11866606045207213,-0.0009534517995995113
-0.030125,-0.11866606045207213,-0.000621378898549946
-0.03012,-0.11866606045207213,-0.0009534517995995113
-0.030115,-0.11899618286420734,-0.001617597601698793
-0.03011,-0.11866606045207213,-0.0012855247006492276
-0.030105,-0.11866606045207213,-0.000621378898549795
-0.030100000000000002,-0.11899618286420734,-0.0009534517995993603
-0.030095,-0.11899618286420749,-0.0012855247006492276
-0.030090000000000002,-0.11899618286420749,-0.0009534517995996623
-0.030085,-0.11899618286420749,-0.00028930599750007875
-0.03008,-0.11965642768847837,-0.0012855247006490766
-0.030075,-0.11998655010061357,-0.0009534517995995113
-0.03007,-0.11965642768847821,-0.0012855247006492276
-0.030065,-0.12031667251274894,-0.0009534517995995113
-0.03006,-0.1206467949248843,-0.0016175976016989438
-0.030055000000000002,-0.12031667251274909,-0.0012855247006493785
-0.03005,-0.11932630527634286,-0.0009534517995995113
-0.030045000000000002,-0.11899618286420764,-0.000621378898549946
-0.03004,-0.11932630527634286,-0.0012855247006492276
-0.030035,-0.11932630527634286,-0.0009534517995995113
-0.03003,-0.11932630527634286,-0.0009534517995995113
-0.030025,-0.11932630527634286,-0.0016175976016989438
-0.03002,-0.11998655010061357,-0.0012855247006492276
-0.030015,-0.11998655010061357,-0.0009534517995995113
-0.030010000000000002,-0.11998655010061357,-0.000621378898549946
-0.030005,-0.1206467949248843,-0.0012855247006492276
-0.03,-0.12031667251274879,-0.0012855247006492276
-0.029995,-0.11998655010061357,-0.0012855247006492276
-0.02999,-0.11965642768847837,-0.000621378898549946
-0.029985,-0.11998655010061357,-0.0009534517995995113
-0.02998,-0.11998655010061357,-0.0012855247006492276
-0.029975,-0.11998655010061357,-0.0009534517995995113
-0.02997,-0.11998655010061357,-0.0012855247006492276
-0.029965000000000002,-0.11932630527634316,-0.0012855247006492276
-0.02996,-0.11965642768847821,-0.0016175976016989438
-0.029955,-0.11965642768847806,-0.0009534517995995113
-0.02995,-0.11932630527634286,-0.0009534517995995113
-0.029945,-0.11866606045207258,-0.000621378898550248
-0.02994,-0.11965642768847821,-0.0016175976016989438
-0.029935,-0.11965642768847821,-0.0009534517995995113
-0.029930000000000002,-0.11932630527634301,-0.0009534517995995113
-0.029925,-0.11899618286420749,-0.000621378898549795
-0.029920000000000002,-0.11965642768847791,-0.0012855247006489255
-0.029915,-0.11932630527634286,-0.0012855247006492276
-0.02991,-0.11965642768847837,-0.0012855247006490766
-0.029905,-0.11998655010061357,-0.0009534517995995113
-0.0299,-0.1206467949248843,-0.0012855247006492276
-0.029895,-0.12097691733701967,-0.0012855247006492276
-0.02989,-0.12163716216129038,-0.0009534517995995113
-0.029885000000000002,-0.1219672845734256,-0.0012855247006490766
-0.02988,-0.12196728457342575,-0.0009534517995995113
-0.029875000000000002,-0.12229740698556095,-0.0016175976016986418
-0.02987,-0.12196728457342575,-0.0012855247006492276
-0.029865,-0.12163716216129022,-0.0009534517995995113
-0.02986,-0.12130703974915502,-0.0009534517995995113
-0.029855,-0.12163716216129038,-0.0012855247006492276
-0.02985,-0.1206467949248843,-0.0012855247006492276
-0.029845,-0.11998655010061357,-0.0009534517995995113
-0.029840000000000002,-0.11932630527634316,-0.000621378898549946
-0.029835,-0.11965642768847821,-0.0012855247006492276
-0.02983,-0.11899618286420764,-0.0009534517995995113
-0.029825,-0.11932630527634286,-0.0009534517995995113
-0.02982,-0.1189961828642078,-0.000621378898550248
-0.029815,-0.11965642768847821,-0.0016175976016989438
-0.02981,-0.11965642768847821,-0.0016175976016989438
-0.029805,-0.11998655010061357,-0.0009534517995995113
-0.0298,-0.11965642768847821,-0.000621378898549795
-0.029795000000000002,-0.11998655010061342,-0.0012855247006489255
-0.02979,-0.11965642768847821,-0.0012855247006492276
-0.029785,-0.11965642768847821,-0.0009534517995995113
-0.02978,-0.11965642768847821,-0.0009534517995995113
-0.029775,-0.11998655010061327,-0.001617597601698793
-0.02977,-0.11932630527634286,-0.0012855247006492276
-0.029765,-0.11866606045207213,-0.000621378898549795
-0.02976,-0.11899618286420749,-0.0012855247006492276
-0.029755,-0.11899618286420749,-0.0016175976016989438
-0.029750000000000002,-0.11833593803993707,-0.0009534517995998134
-0.029745,-0.11800581562780141,-0.0009534517995995113
-0.02974,-0.11899618286420734,-0.001617597601698793
-0.029735,-0.11866606045207213,-0.0012855247006492276
-0.02973,-0.11833593803993676,-0.000621378898549795
-0.029725,-0.11866606045207213,-0.0012855247006492276
-0.02972,-0.11899618286420749,-0.0019496705027486601
-0.029715000000000002,-0.11833593803993707,-0.0012855247006495296
-0.02971,-0.11734557080353068,-0.00028930599750007875
-0.029705000000000002,-0.1176756932156659,-0.0012855247006487746
-0.0297,-0.11833593803993676,-0.0016175976016989438
-0.029695,-0.11767569321566605,-0.0009534517995989073
-0.02969,-0.11767569321566605,0.0003748398045993538
-0.029685,-0.11899618286420749,-0.0016175976016989438
-0.02968,-0.11899618286420749,-0.0009534517995995113
-0.029675,-0.11866606045207213,4.2766903549637525e-5
-0.029670000000000002,-0.11899618286420734,0.00037483980459920277
-0.029665,-0.11965642768847821,-0.0016175976016989438
-0.02966,-0.11932630527634241,-0.000621378898549191
-0.029655,-0.11833593803993676,0.0007069127056490701
-0.02965,-0.11899618286420764,-0.0006213788985500971
-0.029645,-0.11932630527634286,-0.0012855247006492276
-0.02964,-0.11866606045207213,-0.00028930599750007875
-0.029635,-0.11734557080353068,0.0013710585077485026
-0.02963,-0.11833593803993676,-0.000621378898549795
-0.029625000000000002,-0.11833593803993676,-0.000621378898549795
-0.02962,-0.11866606045207213,4.2766903549637525e-5
-0.029615,-0.11734557080353143,0.0017031314087971618
-0.02961,-0.11899618286420749,-0.000621378898549795
-0.029605,-0.11899618286420734,-0.0002893059974999277
-0.0296,-0.11866606045207213,4.2766903549637525e-5
-0.029595,-0.11767569321566605,0.0023672772108976514
-0.02959,-0.11932630527634286,-0.0009534517995995113
-0.029585,-0.11800581562780141,-0.00028930599750007875
-0.029580000000000002,-0.1176756932156662,4.2766903549486496e-5
-0.029575,-0.11668532597925996,0.002035204309847935
-0.02957,-0.11866606045207183,-0.0012855247006487746
-0.029565,-0.11800581562780141,-0.00028930599750007875
-0.02956,-0.11767569321566605,0.0003748398045993538
-0.029555,-0.11701544839139533,0.0023672772108976514
-0.02955,-0.11899618286420749,-0.0009534517995995113
-0.029545000000000002,-0.11800581562780185,4.2766903549184545e-5
-0.02954,-0.11767569321566605,0.0007069127056490701
-0.029535000000000002,-0.11701544839139563,0.002035204309847331
-0.02953,-0.11800581562780141,-0.0012855247006492276
-0.029525,-0.11701544839139488,0.0003748398045996558
-0.02952,-0.11602508115498925,0.0010389856066987863
-0.029515,-0.11536483633071852,0.002035204309847935
-0.02951,-0.1163552035671246,-0.0012855247006492276
-0.029505,-0.11503471391858315,0.0003748398045993538
-0.029500000000000002,-0.11404434668217751,0.0010389856066984843
-0.029495,-0.11404434668217707,0.0013710585077485026
-0.029490000000000002,-0.11536483633071792,-0.0009534517995984544
-0.029485,-0.11404434668217707,0.0010389856066987863
-0.02948,-0.11305397944577143,0.0017031314087979168
-0.029475,-0.11404434668217707,0.0010389856066987863
-0.02947,-0.11503471391858315,-0.0012855247006492276
-0.029465,-0.11371422427004171,0.0010389856066987863
-0.02946,-0.11338410185790634,0.002035204309847935
-0.029455000000000002,-0.114374469094312,4.2766903550543484e-5
-0.02945,-0.11503471391858315,-0.0009534517995995113
-0.029445,-0.11404434668217676,0.0010389856066993905
-0.02944,-0.11338410185790634,0.0023672772108976514
-0.029435,-0.11569495874285357,-0.0009534517995992092
